Block,Female,Haplotype,Male exposure,Vial,Female offspring,Male offspring,Other,Total offspring,Mortality
5,116,Sweden,H,2,6,9,0,15,N
5,116,Sweden,L,3,11,7,1,19,N
5,116,Sweden,H,4,4,3,0,7,N
5,117,Sweden,L,1,6,5,1,12,N
5,117,Sweden,H,2,12,13,1,26,N
5,117,Sweden,L,3,24,15,0,39,N
5,117,Sweden,H,4,10,8,0,18,N
5,118,Sweden,L,1,17,12,0,29,N
5,118,Sweden,H,2,9,14,2,25,N
5,118,Sweden,L,3,13,14,1,28,N
5,118,Sweden,H,4,10,5,0,15,N
5,119,Sweden,H,1,13,15,2,30,N
5,119,Sweden,L,2,30,29,2,61,N
5,119,Sweden,H,3,17,15,0,32,N
5,119,Sweden,L,4,10,15,0,25,N
5,120,Sweden,H,1,10,11,0,21,N
5,120,Sweden,L,2,24,10,5,39,N
5,120,Sweden,H,3,19,27,2,48,N
5,120,Sweden,L,4,13,9,0,22,N
5,121,Sweden,H,1,9,10,0,19,N
5,121,Sweden,L,2,17,16,1,34,N
5,121,Sweden,H,3,18,15,0,33,N
5,121,Sweden,L,4,9,17,0,26,N
5,122,Israel,L,1,3,9,1,13,N
5,122,Israel,H,2,NA,NA,NA,NA,NA
5,122,Israel,L,3,NA,NA,NA,NA,NA
5,122,Israel,H,4,NA,NA,NA,NA,NA
5,123,Israel,L,1,13,13,0,26,N
5,123,Israel,H,2,18,19,0,37,N
5,123,Israel,L,3,21,34,1,56,N
5,123,Israel,H,4,12,10,1,23,N
5,124,Israel,L,1,12,12,0,24,N
5,124,Israel,H,2,9,17,0,26,N
5,124,Israel,L,3,22,18,0,40,N
5,124,Israel,H,4,11,11,2,24,N
5,125,Israel,H,1,6,5,0,11,N
5,125,Israel,L,2,1,2,0,3,N
5,125,Israel,H,3,0,3,1,4,N
5,125,Israel,L,4,1,1,0,2,N
5,126,Israel,H,1,8,7,1,16,N
5,126,Israel,L,2,15,19,0,34,N
5,126,Israel,H,3,20,21,2,43,N
5,126,Israel,L,4,18,18,0,36,N
5,127,Israel,H,1,9,11,0,20,N
5,127,Israel,L,2,19,17,0,36,N
5,127,Israel,H,3,17,20,0,37,N
5,127,Israel,L,4,13,19,0,32,N
5,128,Brownsville,L,1,2,6,0,8,N
5,128,Brownsville,H,2,9,7,0,16,N
5,128,Brownsville,L,3,22,20,0,42,N
5,128,Brownsville,H,4,14,13,0,27,N
5,129,Brownsville,L,1,6,9,0,15,N
5,129,Brownsville,H,2,17,5,1,23,N
5,129,Brownsville,L,3,15,17,0,32,N
5,129,Brownsville,H,4,5,6,1,12,N
5,130,Brownsville,H,1,12,16,0,28,N
5,130,Brownsville,L,2,9,7,0,16,N
5,130,Brownsville,H,3,1,0,0,1,N
5,130,Brownsville,L,4,0,1,0,1,N
5,131,Brownsville,H,1,6,11,0,17,N
5,131,Brownsville,L,2,14,14,0,28,N
5,131,Brownsville,H,3,16,11,0,27,N
5,131,Brownsville,L,4,0,0,0,0,N
5,132,Barcelona,L,1,11,9,0,20,N
5,132,Barcelona,H,2,23,13,0,36,N
5,132,Barcelona,L,3,11,10,0,21,N
5,132,Barcelona,H,4,6,10,0,16,N
5,133,Barcelona,L,1,6,7,0,13,N
5,133,Barcelona,H,2,8,16,1,25,N
5,133,Barcelona,L,3,16,11,0,27,N
5,133,Barcelona,H,4,7,8,0,15,N
5,134,Barcelona,L,1,11,10,0,21,N
5,134,Barcelona,H,2,17,22,0,39,N
5,134,Barcelona,L,3,14,11,2,27,N
5,134,Barcelona,H,4,5,4,0,9,N
5,135,Barcelona,H,1,9,13,0,22,N
5,135,Barcelona,L,2,21,19,6,46,N
5,135,Barcelona,H,3,18,13,0,31,N
5,135,Barcelona,L,4,7,2,0,9,N
5,136,Barcelona,H,1,15,14,1,30,N
5,136,Barcelona,L,2,21,31,0,52,N
5,136,Barcelona,H,3,21,21,0,42,N
5,136,Barcelona,L,4,6,7,3,16,N
5,137,Barcelona,H,1,8,7,0,15,N
5,137,Barcelona,L,2,9,10,1,20,N
5,137,Barcelona,H,3,10,10,0,20,N
5,137,Barcelona,L,4,4,5,0,9,N
6,138,Dahomey,H,1,13,14,1,28,N
6,138,Dahomey,L,2,16,11,0,27,N
6,138,Dahomey,H,3,12,25,0,37,N
6,138,Dahomey,L,4,19,15,0,34,N
6,139,Dahomey,H,1,8,13,0,21,N
6,139,Dahomey,L,2,8,11,0,19,N
6,139,Dahomey,H,3,14,10,0,24,N
6,139,Dahomey,L,4,3,10,0,13,N
6,140,Dahomey,H,1,8,11,0,19,N
6,140,Dahomey,L,2,15,5,0,20,N
6,140,Dahomey,H,3,7,9,0,16,N
6,140,Dahomey,L,4,9,4,0,13,N
6,141,Dahomey,L,1,8,10,0,18,N
6,141,Dahomey,H,2,11,8,0,19,N
6,141,Dahomey,L,3,4,15,0,19,N
6,141,Dahomey,H,4,6,7,0,13,N
6,142,Dahomey,L,1,6,6,0,12,N
6,142,Dahomey,H,2,6,8,0,14,N
6,142,Dahomey,L,3,5,6,2,13,N
6,142,Dahomey,H,4,7,6,0,13,N
6,143,Dahomey,L,1,50,39,0,89,N
6,143,Dahomey,H,2,31,26,0,57,N
6,143,Dahomey,L,3,17,21,0,38,N
6,143,Dahomey,H,4,14,12,0,26,N
6,144,Sweden,H,1,9,15,0,24,N
6,144,Sweden,L,2,25,22,0,47,N
6,144,Sweden,H,3,12,14,0,26,N
6,144,Sweden,L,4,11,9,2,22,N
